period,scenario,subscenario,subperiod,Eastern,Western
2,3,2,2,200.0,200.0
2,3,2,3,200.0,300.0
2,3,3,1,100.0,100.0
2,3,3,2,100.0,100.0
2,3,3,3,200.0,300.0
2,3,4,1,100.0,100.0
2,3,4,2,200.0,200.0
2,3,4,3,200.0,300.0
3,1,1,1,200.0,200.0
3,1,1,2,200.0,200.0
3,1,1,3,200.0,300.0
3,1,2,1,200.0,200.0
3,1,2,2,200.0,200.0
3,1,2,3,200.0,300.0
3,1,3,1,100.0,100.0
3,1,3,2,100.0,100.0
3,1,3,3,200.0,300.0
3,1,4,1,100.0,100.0
3,1,4,2,200.0,200.0
3,1,4,3,200.0,300.0
3,2,1,1,200.0,200.0
3,2,1,2,200.0,200.0
3,2,1,3,200.0,300.0
3,2,2,1,200.0,200.0
3,2,2,2,200.0,200.0
3,2,2,3,200.0,300.0
3,2,3,1,100.0,100.0
3,2,3,2,100.0,100.0
3,2,3,3,200.0,300.0
3,2,4,1,100.0,100.0
3,2,4,2,200.0,200.0
3,2,4,3,200.0,300.0
3,3,1,1,200.0,200.0
3,3,1,2,200.0,200.0
3,3,1,3,200.0,300.0
3,3,2,1,200.0,200.0
3,3,2,2,200.0,200.0
3,3,2,3,200.0,300.0
3,3,3,1,100.0,100.0
3,3,3,2,100.0,100.0
3,3,3,3,200.0,300.0
3,3,4,1,100.0,100.0
3,3,4,2,200.0,200.0
3,3,4,3,200.0,300.0
4,1,1,1,200.0,200.0
4,1,1,2,200.0,200.0
4,1,1,3,200.0,300.0
4,1,2,1,200.0,200.0
4,1,2,2,200.0,200.0
4,1,2,3,200.0,300.0
4,1,3,1,100.0,100.0
4,1,3,2,100.0,100.0
4,1,3,3,200.0,300.0
4,1,4,1,100.0,100.0
4,1,4,2,200.0,200.0
4,1,4,3,200.0,300.0
4,2,1,1,200.0,200.0
4,2,1,2,200.0,200.0
4,2,1,3,200.0,300.0
4,2,2,1,200.0,200.0
4,2,2,2,200.0,200.0
4,2,2,3,200.0,300.0
4,2,3,1,100.0,100.0
4,2,3,2,100.0,100.0
4,2,3,3,200.0,300.0
4,2,4,1,100.0,100.0
4,2,4,2,200.0,200.0
4,2,4,3,200.0,300.0
4,3,1,1,200.0,200.0
4,3,1,2,200.0,200.0
4,3,1,3,200.0,300.0
4,3,2,1,200.0,200.0
4,3,2,2,200.0,200.0
4,3,2,3,200.0,300.0
4,3,3,1,100.0,100.0
4,3,3,2,100.0,100.0
4,3,3,3,200.0,300.0
4,3,4,1,100.0,100.0
4,3,4,2,200.0,200.0
4,3,4,3,200.0,300.0
5,1,1,1,10.0,10.0
5,1,1,2,-0.0,-0.0
5,1,1,3,50.0,300.0
5,1,2,1,10.0,10.0
5,1,2,2,-0.0,-0.0
5,1,2,3,50.0,300.0
5,1,3,1,10.0,10.0
5,1,3,2,-0.0,-0.0
5,1,3,3,10.0,10.0
5,1,4,1,10.0,10.0
5,1,4,2,-0.0,-0.0
5,1,4,3,10.0,10.0
5,2,1,1,10.0,10.0
5,2,1,2,10.0,10.0
5,2,1,3,50.0,300.0
5,2,2,1,50.0,50.0
5,2,2,2,50.0,50.0
5,2,2,3,50.0,300.0
5,2,3,1,10.0,10.0
5,2,3,2,-0.0,-0.0
5,2,3,3,10.0,10.0
5,2,4,1,10.0,10.0
5,2,4,2,10.0,10.0
5,2,4,3,10.0,10.0
5,3,1,1,200.0,200.0
5,3,1,2,50.0,50.0
5,3,1,3,200.0,300.0
5,3,2,1,200.0,200.0
5,3,2,2,100.0,100.0
5,3,2,3,200.0,300.0
5,3,3,1,100.0,100.0
5,3,3,2,10.0,10.0
5,3,3,3,100.0,100.0
5,3,4,1,100.0,100.0
5,3,4,2,50.0,50.0
5,3,4,3,100.0,100.0
6,1,1,1,10.0,10.0
6,1,1,2,-0.0,-0.0
6,1,1,3,50.0,300.0
6,1,2,1,10.0,10.0
6,1,2,2,-0.0,-0.0
6,1,2,3,50.0,300.0
6,1,3,1,10.0,10.0
6,1,3,2,-0.0,-0.0
6,1,3,3,10.0,10.0
6,1,4,1,10.0,10.0
6,1,4,2,-0.0,-0.0
6,1,4,3,10.0,10.0
6,2,1,1,10.0,10.0
6,2,1,2,10.0,10.0
6,2,1,3,50.0,300.0
6,2,2,1,50.0,50.0
6,2,2,2,50.0,50.0
6,2,2,3,50.0,300.0
6,2,3,1,10.0,10.0
6,2,3,2,-0.0,-0.0
6,2,3,3,10.0,10.0
6,2,4,1,10.0,10.0
6,2,4,2,10.0,10.0
6,2,4,3,10.0,10.0
6,3,1,1,200.0,200.0
6,3,1,2,50.0,50.0
6,3,1,3,200.0,300.0
6,3,2,1,200.0,200.0
6,3,2,2,100.0,100.0
6,3,2,3,200.0,300.0
6,3,3,1,100.0,100.0
6,3,3,2,10.0,10.0
6,3,3,3,100.0,100.0
6,3,4,1,100.0,100.0
6,3,4,2,50.0,50.0
6,3,4,3,100.0,100.0
